structure(list(fert1 = c(1.8778096081689, 1.95548891706858, 1.80560831280891, 
2.27143756430596, 1.95296370070428, 2.25074607688002, 1.99118801367003, 
1.53506994217169, 1.66195610836148, 2.46609229533933, 1.8713006634498, 
2.21769018387422, 2.02682269331999, 1.69260609967168, 2.38670901865698, 
1.45895982172806, 2.19488903456368, 1.73421067870222, 1.44079817966558, 
2.43633853245992, 1.7416051273467, 2.07298500121105, 1.45534533173777, 
1.77671903844457, 2.16141626886092, 1.66361327802297, 2.21894272665959, 
1.44075508418027, 2.23082235842012, 1.56436935958918, 1.74868360927794, 
2.37529924362898, 2.34981201319024, 2.43444029295351, 1.53265049564652, 
1.59254208772909, 1.81631531335879, 1.48685328424908, 2.28774649747647, 
2.3530865752371, 2.38288153221365, 1.59485184587538, 1.70359789277427, 
2.15808916175738, 2.47627796567976, 2.25925056331325, 2.10225013960153, 
1.6589950586902, 1.78825489543378, 1.91131887263618, 1.70615683009382, 
2.12953950595111, 2.10988490025047, 1.67624730807729, 1.90705162486993, 
2.35978809851222), fert2 = c(1.84306326711085, 2.09758773758076, 
2.35272112248931, 1.80119229243137, 2.2897939175833, 2.04643354276195, 
1.99454737112392, 1.73354489600752, 1.46107711221557, 2.36258364545647, 
1.54663137723692, 2.27636586485896, 1.85493250039872, 2.07728174584918, 
1.852565674996, 1.88542517847382, 2.42366047389805, 1.88038643349428, 
2.37576926427428, 2.07873843635898, 2.01563943370711, 1.74170009482186, 
2.14800014744978, 1.58556767913979, 1.87241425379179, 2.28072780861985, 
1.48485926487483, 2.18302593443077, 1.55715189857874, 1.40317393061705, 
2.46889847817365, 1.60356675994117, 1.95555264891591, 2.4310477288207, 
2.27941448031925, 2.29003873462789, 2.36568202124909, 2.22908689633477, 
2.48478935514577, 1.75424386195373, 1.75421843985096, 2.38417289031204, 
2.14326221288648, 1.45439006397501, 2.49111867963802, 1.89698519031517, 
1.80049147927202, 1.79526830886025, 2.47546032317914, 1.96095380375627, 
2.20777459030505, 2.16223653883208, 1.8796294571599, 1.48265921969432, 
2.28727557710372, 1.66952010223176), fert3 = c(2.12713067636359, 
2.41782915252261, 2.14016650144476, 1.77568258545361, 2.13089092476293, 
1.98305677352473, 2.06252633158583, 1.4005037518451, 1.46738098720089, 
2.45514056021348, 1.59209804367274, 1.7787714881124, 1.64706861625891, 
1.84520377174485, 1.70281740059145, 2.34774559584912, 2.01915807621554, 
2.02736776347738, 2.32703427548986, 1.90064996900037, 2.35904491185211, 
1.76511079706252, 2.22825183016248, 2.18902656387072, 1.48201082891319, 
1.64564623909537, 2.06049461842049, 2.31973473438993, 2.11955179511569, 
1.72494020943996, 2.34686110408511, 1.75012104900088, 2.4003158664098, 
1.6539362446405, 1.8610133144306, 2.25860765695106, 2.13562811634038, 
1.49877448813058, 1.76136879061814, 1.9362511879066, 2.26362846833654, 
1.90273730340414, 1.40117180242669, 1.9375067653833, 1.59442013369407, 
1.72861417902168, 2.41673709724564, 1.41914337584749, 2.49077713971492, 
2.05989238650072, 2.30290987757035, 1.99976424651686, 1.80689451661892, 
1.83683569096029, 2.04878712580539, 1.68741936783772), fert4 = c(2.34779808532912, 
2.27573390966281, 2.13808753017802, 1.67174150934443, 1.56554334333632, 
2.34962203444447, 1.46678646788932, 2.2033007573802, 1.68599986170884, 
2.14057842576876, 1.56557360675652, 1.90840439749882, 2.47220290410332, 
2.15216148733161, 2.40153959486634, 1.72231974694878, 1.8233669614885, 
2.41026374644134, 1.40767017221078, 2.08586179837584, 1.98449670088012, 
1.84868966781069, 1.92270788503811, 1.49395360832568, 1.85271639253478, 
2.08095810830127, 2.1616592511069, 2.06169281285256, 1.55484107525554, 
2.21092463831883, 2.27886385121383, 2.41012438780162, 1.86169054668862, 
2.08461111984216, 2.20735973219853, 2.03739723723847, 1.57533288183622, 
1.67685085411649, 2.28235068670474, 2.49904249738902, 1.56413517971523, 
1.78175584694836, 1.98664970847312, 1.47726946165785, 1.89112895291764, 
1.8896923614433, 2.04245111418422, 2.03894532346167, 1.64426537309773, 
1.60733451247215, 2.13896233828273, 1.74424183794763, 1.56930867328774, 
2.37118213484064, 1.65856325814966, 2.45702892192639), resa = c(372.557178656367, 
361.964274417287, 364.887005999847, 381.598296535004, 380.226307787691, 
386.132598699859, 366.944207777371, 362.867819598465, 378.569025984538, 
385.498086643821, 360.68717250888, 388.217505756131, 366.375648295215, 
350.962533768058, 388.60530106373, 342.39557092872, 377.894900595084, 
353.170289059824, 364.705634336629, 384.239991305537, 361.051051394888, 
367.547252250833, 355.826215245626, 372.263376453029, 384.775004700919, 
354.871821849793, 384.229183197687, 347.25594071616, 376.437892383912, 
352.687941571633, 375.429414412659, 389.50218270847, 391.557482645624, 
391.940670029841, 341.126609867269, 355.394322843554, 351.904915985536, 
353.070046715638, 376.577988052072, 396.744401634152, 397.621043545204, 
361.805757781105, 379.849285332203, 377.841059762793, 379.232700853483, 
379.405189687876, 362.552036339355, 374.133740718572, 362.779498223171, 
363.700179046335, 357.772529074455, 379.34151631103, 380.801693364856, 
351.099594313959, 386.787959278899, 396.621177813444)), row.names = c(NA, 
-56L), class = "data.frame")
