structure(list(fert1 = c(2.4578811715357, 1.47402534103021, 2.45320674856193, 
1.630672702007, 1.80690895554144, 1.82386092850938, 1.96273837410845, 
2.44280401032884, 2.46519092465751, 1.89317797629628, 2.22279073370155, 
2.09199340923224, 2.1319240541663, 2.08731902134605, 2.12487321177032, 
2.18198397448286, 1.49596469332464, 2.21287921387702, 2.35358302528039, 
1.71217956189066, 2.32686396883801, 1.71338548609056, 2.49692589072511, 
1.63508162547369, 2.09673696651589, 2.31853792758193, 1.54032829133794, 
2.29831993523985, 2.26070919183549, 1.45592241073027, 2.30871727741323, 
2.44108611124102, 1.97304033134133, 1.54661933092866, 1.89461953586433, 
2.25848356653005, 2.15066803758964, 1.49026673394255, 2.18474975512363, 
2.03678838862106, 2.09172626419459, 1.84295498402789, 1.99462602722924, 
2.37660465724766, 2.2353281182237, 2.26322812931612, 1.82120131878182, 
2.48033769065514, 1.78829961954616, 2.20716625826899, 1.98782407767139, 
2.32703588183504, 1.82610941734165, 2.4490138111636, 1.85322542262729, 
1.63021879449952, 1.73118837354705, 1.73982132123783, 1.89189344977494, 
2.02094093239866, 2.27647441558074, 1.80801987845916, 1.8548793829279, 
1.8450450936798, 2.20600195433944, 2.15129633240867), fert2 = c(2.13969679940492, 
1.56418580929749, 2.06114473848138, 1.4046442087274, 2.11280369935557, 
2.20812583949883, 1.90413991448004, 1.54525641952641, 1.46264215316623, 
2.33736644210294, 1.67342371181585, 1.936608722643, 1.99327162955888, 
1.92988242676947, 2.24052021128591, 2.21926965555176, 1.9118064803537, 
1.46853461374994, 2.15917207582388, 2.06258974124212, 2.48593721145298, 
2.48474953356199, 1.42318523561116, 1.60261368707288, 1.88927444175351, 
2.41459019745234, 2.3256379036, 2.19807392121293, 2.07174924616702, 
1.9765863106586, 2.13758533550426, 1.82325083876494, 1.55394233460538, 
2.30518690079916, 1.8648394754855, 2.24472362066153, 1.50761681799777, 
2.30296909054741, 1.78790676365606, 2.32118811591063, 1.77739137611352, 
1.84113902361132, 2.05661707147956, 1.95693336483091, 2.06857738955878, 
2.4261798636755, 1.49870159048587, 1.42127168511506, 1.93065560127143, 
2.17409426160157, 2.09900507801212, 2.46474111701828, 1.78363026250154, 
1.81561112846248, 1.41095184679143, 1.60372625910677, 1.90665229442529, 
1.96045155248139, 2.40978398041334, 1.51391854239628, 1.73866989111993, 
1.50428492464125, 1.99264835559297, 2.39922588872723, 2.30257441010326, 
2.06389955156483), fert3 = c(2.41449428850319, 2.20905499442015, 
1.60649982022587, 1.94196104581933, 1.53241785680875, 2.4579324017046, 
2.41711178596597, 2.39736033906229, 1.59629207262769, 1.70928907487541, 
